full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
instructkr/claude-code,22117,22117,31486,22117,22117,31486,https://github.com/instructkr/claude-code
anthropics/claude-code,86758,86758,8536,1953,1953,1351,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,123644,123644,16265,2220,2220,470,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,44664,44664,6831,424,424,73,https://github.com/shareAI-lab/learn-claude-code
hesreallyhim/awesome-claude-code,34830,34830,2541,131,131,18,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30828,30828,2385,37,37,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23876,23876,2310,24,24,3,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,27522,27522,2280,632,632,38,https://github.com/shanraisshan/claude-code-best-practice
ChinaSiro/claude-code-sourcemap,2317,2317,3993,2317,2317,3993,https://github.com/ChinaSiro/claude-code-sourcemap
VoltAgent/awesome-claude-code-subagents,15749,15749,1770,28,28,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6755,6755,1617,12,12,4,https://github.com/anthropics/claude-code-action
nirholas/claude-code,476,476,563,476,476,563,https://github.com/nirholas/claude-code
diet103/claude-code-infrastructure-showcase,9376,9376,1201,3,3,1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7613,7613,1114,51,51,12,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7187,7187,972,46,46,14,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8294,8294,603,7,7,0,https://github.com/frankbria/ralph-claude-code
chatgptprojects/claude-code,307,307,347,307,307,347,https://github.com/chatgptprojects/claude-code
ykdojo/claude-code-tips,6967,6967,480,12,12,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5637,5637,498,20,20,2,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3756,3756,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,810,810,1540,5,5,10,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3331,3331,440,2,2,-1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3446,3446,586,1,1,-1,https://github.com/disler/claude-code-hooks-mastery
qwibitai/nanoclaw,26069,26069,9872,37,37,54,https://github.com/qwibitai/nanoclaw
zebbern/claude-code-guide,3764,3764,351,5,5,2,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,198,1,1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7224,7224,351,12,12,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,107273,107273,11878,319,319,41,https://github.com/anthropics/skills
pengchengneo/Claude-Code,159,159,227,159,159,227,https://github.com/pengchengneo/Claude-Code
sanbuphy/claude-code-source-code,633,633,991,633,633,991,https://github.com/sanbuphy/claude-code-source-code
Yuyz0112/claude-code-reverse,2308,2308,381,5,5,3,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2292,2292,323,2,2,4,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4079,4079,343,5,5,2,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2293,2293,303,3,3,3,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2599,2599,376,18,18,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Kuberwastaken/claude-code,96,96,210,96,96,210,https://github.com/Kuberwastaken/claude-code
Cranot/claude-code-guide,2539,2539,266,0,0,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2230,2230,253,10,10,1,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,741,741,589,2,2,0,https://github.com/anthropics/claude-code-base-action
hangsman/claude-code-source,258,258,642,258,258,642,https://github.com/hangsman/claude-code-source
sickn33/antigravity-awesome-skills,29183,29183,4869,123,123,24,https://github.com/sickn33/antigravity-awesome-skills
https-deeplearning-ai/sc-claude-code-files,469,469,639,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1374,1374,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21601,21601,3557,98,98,18,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3594,3594,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
obra/superpowers,127275,127275,10380,801,801,64,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26323,26323,2467,7,7,-1,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,4975,4975,406,62,62,7,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32634,32634,3552,25,25,-1,https://github.com/wshobson/agents
zhukunpenglinyutong/idea-claude-code-gui,2265,2265,261,15,15,4,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
bfly123/claude_code_bridge,2003,2003,183,14,14,0,https://github.com/bfly123/claude_code_bridge
snarktank/ralph,14133,14133,1437,25,25,3,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,15507,15507,1685,42,42,2,https://github.com/anthropics/claude-plugins-official
feiskyer/claude-code-settings,1390,1390,207,2,2,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9176,9176,1176,15,15,0,https://github.com/siteboon/claudecodeui
carlvellotti/claude-code-pm-course,1710,1710,264,2,2,2,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,902,902,470,27,27,46,https://github.com/ghuntley/claude-code-source-code-deobfuscation
